Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Les Halles,N/A,Loft atypique - Paris Centre,"€ 2,166 total",https://www.airbnb.com/rooms/1099206870677546619?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710034_pyy8cXSYlqa01MQX&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,New,N/A,2024-07-01,2024-07-05,No,No,1099206870677546619
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 3,048 total",https://www.airbnb.com/rooms/900732682243173631?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710034_VgJU3bSVUX%2Bk%2B2tt&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,5.0 (5),N/A,2024-07-01,2024-07-05,No,No,900732682243173631
Apartment in Les Halles,N/A,Unique 3 bedroom flat in the heart of Paris,"€ 1,890 total",https://www.airbnb.com/rooms/1062928363286215241?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710034_8OrRx8BFzBzGi1Id&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,4.94 (240),N/A,2024-07-01,2024-07-05,No,No,1062928363286215241
Apartment in Opéra,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 3,315 total",https://www.airbnb.com/rooms/41574523?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710034_9KubryJJxiPI48vB&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,4.96 (49),N/A,2024-07-01,2024-07-05,No,Yes,41574523
Apartment in Place Vendôme,N/A,216 Suite Vintage spirit - Superb Apartement,"€ 4,355 total",https://www.airbnb.com/rooms/612080162106232567?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-30&check_out=2024-07-05&source_impression_id=p3_1711710035_cArCoSTKcdeKG4It&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,4.73 (164),N/A,2024-07-01,2024-07-05,Yes,No,612080162106232567
Apartment in Opéra,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 5,659 total",https://www.airbnb.com/rooms/13670403?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-30&check_out=2024-07-05&source_impression_id=p3_1711710035_UZQLml4kZd6yqN8h&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,4.76 (38),N/A,2024-07-01,2024-07-05,Yes,No,13670403
Apartment in Bonne-Nouvelle,N/A,Beautiful apartment 3BR/8P - Montorgueil 1,"€ 1,137 total",https://www.airbnb.com/rooms/873017003912847803?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-07-01&check_out=2024-07-03&source_impression_id=p3_1711710035_CHjsfvOy3Y7by7Tz&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,4.92 (61),N/A,2024-07-01,2024-07-05,Yes,No,873017003912847803
Apartment in Place Vendôme,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 4,355 total",https://www.airbnb.com/rooms/577939173957247868?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-07-02&check_out=2024-07-07&source_impression_id=p3_1711710035_9f244cj906FVxpeP&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,4.96 (73),N/A,2024-07-01,2024-07-05,Yes,No,577939173957247868
Apartment in Belleville,N/A,Elegant design duplex near the Grands Boulevards,"€ 1,212 total",https://www.airbnb.com/rooms/24729682?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-07-03&check_out=2024-07-07&source_impression_id=p3_1711710035_xECWv9zpSNWFU5QC&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,4.67 (210),N/A,2024-07-01,2024-07-05,No,No,24729682
Apartment in Batignolles,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms",€ 943 total,https://www.airbnb.com/rooms/38223307?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-07-01&check_out=2024-07-04&source_impression_id=p3_1711710035_gzWsyRm3YukmGFC8&previous_page_section_name=1000&federated_search_id=12a885c6-a100-46f2-b9b4-2a23b8b86536,2,N/A,N/A,2024-07-01,2024-07-05,No,No,38223307
Apartment in Opéra,N/A,Duplex with balcony in the heart of Paris,"€ 2,769 total",https://www.airbnb.com/rooms/922311640745574824?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_5qncDrJPp4p5MiaJ&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,5.0 (6),Guest favorite,2024-07-01,2024-07-05,No,No,922311640745574824
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
4 bedrooms
,
 · 4 bedrooms","€ 3,032 total",https://www.airbnb.com/rooms/820761770769971621?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_%2FJ01VNjt2ihCWbD%2F&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,New,Superhost,2024-07-01,2024-07-05,No,No,820761770769971621
Apartment in Bonne-Nouvelle,N/A,At Terrasses de la Lune in the heart of Paris,"€ 3,300 total",https://www.airbnb.com/rooms/1110776601533907427?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_AVJyIEZn%2FJa8iTsS&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.74 (98),Superhost,2024-07-01,2024-07-05,No,No,1110776601533907427
Apartment in Bonne-Nouvelle,N/A,"6 beds
6 beds
3 bedrooms
,
 · 3 bedrooms","€ 3,085 total",https://www.airbnb.com/rooms/53490856?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_jYqPBtqEeKBu2Ejx&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.67 (176),Guest favorite,2024-07-01,2024-07-05,Yes,No,53490856
Apartment in Temple,N/A,New flat with terrace Centre de Paris Bourse,"€ 3,224 total",https://www.airbnb.com/rooms/5746469?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_LuFFOlikZzmSvp4J&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.36 (25),N/A,2024-07-01,2024-07-05,No,No,5746469
Apartment in Paris,N/A,"5 beds
5 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,674 total",https://www.airbnb.com/rooms/920156165756301984?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_135ZklZh26ibg0o1&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.38 (55),N/A,2024-07-01,2024-07-05,No,No,920156165756301984
Apartment in Paris,N/A,215 Suite Esprit Nature - Superb apartment,"€ 1,525 total",https://www.airbnb.com/rooms/53846418?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_bbonZpo7q9g%2BSncf&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.84 (176),N/A,2024-07-01,2024-07-05,No,No,53846418
Apartment in Paris,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,131 total",https://www.airbnb.com/rooms/41576693?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_S0TJe%2F0HIOqiI6QT&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,New,N/A,2024-07-01,2024-07-05,No,Yes,41576693
Apartment in Paris,N/A,"Paris Lyrique, 3 Ch / 2 bathrooms, 6 people, 120 m²","€ 2,722 total",https://www.airbnb.com/rooms/1076786909030901817?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_PerVBWRX2Hi7iGwD&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,New,N/A,2024-07-01,2024-07-05,No,No,1076786909030901817
Apartment in Bonne-Nouvelle,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,245 total",https://www.airbnb.com/rooms/1080159116863609212?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_GJ1zPkbYwJ5sZrN%2B&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.6 (127),N/A,2024-07-01,2024-07-05,No,No,1080159116863609212
Apartment in Bonne-Nouvelle,N/A,618 Suite Sion - Superb apartment in Paris,"€ 1,608 total",https://www.airbnb.com/rooms/17093783?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_IVh%2B%2F9kLYe1j0JXn&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.61 (279),N/A,2024-07-01,2024-07-05,No,No,17093783
Apartment in Bonne-Nouvelle,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,131 total",https://www.airbnb.com/rooms/12584603?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_RDAuCQlng%2FhJD4Pz&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.65 (389),N/A,2024-07-01,2024-07-05,No,Yes,12584603
Apartment in Temple,N/A,"Centre Paris, near Gare Est & Nord, 3 bedrooms","€ 1,941 total",https://www.airbnb.com/rooms/23504416?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_IXMPSM4rtOrmPJzh&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,New,N/A,2024-07-01,2024-07-05,No,No,23504416
Apartment in Buttes-Chaumont,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 1,692 total",https://www.airbnb.com/rooms/1110133375253872228?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_Ejv8M4P%2BpAY%2FqEKi&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,5.0 (20),N/A,2024-07-01,2024-07-05,No,No,1110133375253872228
Apartment in Temple,N/A,LivinParis | Luxury 2 Bedrooms Opera II,"€ 3,246 total",https://www.airbnb.com/rooms/23708945?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_DbjJLiagkwCTO1hT&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.56 (48),N/A,2024-07-01,2024-07-05,Yes,No,23708945
Apartment in Opéra,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 2,925 total",https://www.airbnb.com/rooms/777478072805505517?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_V0gq%2BQKVXnJJ4Eo%2B&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.88 (121),N/A,2024-07-01,2024-07-05,No,No,777478072805505517
Apartment in Palais-Royal,N/A,Charm and terrace in the heart of Paris.,"€ 3,252 total",https://www.airbnb.com/rooms/573242429250599167?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_i4LR3pZzYtYHsoUI&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,4.5 (6),N/A,2024-07-01,2024-07-05,Yes,No,573242429250599167
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,865 total",https://www.airbnb.com/rooms/1049853111260428604?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710039_HWdCFn0W5ATTQw%2Bz&previous_page_section_name=1000&federated_search_id=f2a4a50c-dc95-4ec1-b522-69e5f2b9de87,2,N/A,N/A,2024-07-01,2024-07-05,No,No,1049853111260428604
Apartment in Paris,N/A,Best 8 Peoples Republique,"€ 1,668 total",https://www.airbnb.com/rooms/1091314960445353725?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_rhExwLn7ktA2a3Ou&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,Superhost,2024-07-01,2024-07-05,No,No,1091314960445353725
Apartment in Paris,N/A,"2 bedrooms
2 bedrooms","€ 2,174 total",https://www.airbnb.com/rooms/48796305?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_Mkq7P6TJ9iw5sy91&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.52 (132),Superhost,2024-07-01,2024-07-05,No,No,48796305
Condo in Paris,N/A,167 Suite K - Superb apartment in Paris,"€ 1,648 total",https://www.airbnb.com/rooms/1095053352007463260?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_v%2BaAfZaOCuG6D5IF&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,Superhost,2024-07-01,2024-07-05,No,No,1095053352007463260
Apartment in Paris,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 2,342 total",https://www.airbnb.com/rooms/893998484038590240?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_1p70XEiAC%2F1k1fRP&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.92 (12),Guest favorite,2024-07-01,2024-07-05,Yes,No,893998484038590240
Apartment in Paris,N/A,Parisian house,"€ 1,930 total",https://www.airbnb.com/rooms/1065749660603580548?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_6Z8Vj7OZZzzZT%2BCA&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.75 (4),N/A,2024-07-01,2024-07-05,No,No,1065749660603580548
Apartment in Paris,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 1,764 total",https://www.airbnb.com/rooms/1120959814428918171?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_UGIFXTlUjAl1pI4v&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,N/A,2024-07-01,2024-07-05,No,No,1120959814428918171
Apartment in Paris,N/A,Family Apartment in the center of Paris,"€ 2,423 total",https://www.airbnb.com/rooms/31554364?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_0x1KkuJ2SdxY33Xt&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.47 (177),N/A,2024-07-01,2024-07-05,No,No,31554364
Apartment in Paris,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,033 total",https://www.airbnb.com/rooms/41576887?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_ObOe1S67turqGPUr&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.82 (234),N/A,2024-07-01,2024-07-05,No,Yes,41576887
Apartment in Montreuil,N/A,Large luxury Loft for 6 people by Weekome,€ 565 total,https://www.airbnb.com/rooms/1106615562488353597?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_nxWifnaG2oDb1g5M&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,N/A,2024-07-01,2024-07-05,No,No,1106615562488353597
Apartment in Paris,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 4,566 total",https://www.airbnb.com/rooms/1086970514019174696?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_wi9sC%2BCv9%2FmD72SF&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,N/A,2024-07-01,2024-07-05,No,No,1086970514019174696
Apartment in Paris,N/A,Beautiful apartment very central,"€ 5,015 total",https://www.airbnb.com/rooms/1079553674758463661?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_ewZQvCpDqoLo4u6M&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,N/A,2024-07-01,2024-07-05,No,No,1079553674758463661
Apartment in Paris,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 4,792 total",https://www.airbnb.com/rooms/1097193063852512017?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_i9SrGRXqkWwL72rk&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,N/A,2024-07-01,2024-07-05,No,No,1097193063852512017
Apartment in Paris,N/A,112 Suite Patrick - Superb apartment in Paris,"€ 4,052 total",https://www.airbnb.com/rooms/30420392?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_%2BCwDLDPp7677ENss&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.69 (103),N/A,2024-07-01,2024-07-05,No,No,30420392
Apartment in Paris,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,562 total",https://www.airbnb.com/rooms/1001085794604005845?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_NrYEsMtpQwnRVt9e&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,New,N/A,2024-07-01,2024-07-05,No,No,1001085794604005845
Apartment in Paris,N/A,LivinParis | Luxury 2 Bedrooms Opera IV,"€ 2,757 total",https://www.airbnb.com/rooms/40504697?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_zJ4BiopiwYTNEjWb&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.82 (57),N/A,2024-07-01,2024-07-05,Yes,No,40504697
Apartment in Paris,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 3,491 total",https://www.airbnb.com/rooms/27080053?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_lhMLd4PNc6U2mHPc&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.86 (7),N/A,2024-07-01,2024-07-05,Yes,No,27080053
Apartment in Paris,N/A,Apartment on the outskirts of Paris!,"€ 3,867 total",https://www.airbnb.com/rooms/955560116678077953?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_nmEHVTTajwMnCJhL&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,5.0 (5),N/A,2024-07-01,2024-07-05,No,No,955560116678077953
Apartment in Paris,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 2,127 total",https://www.airbnb.com/rooms/50759766?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710047_bgyzbLYEb4jMqAgx&previous_page_section_name=1000&federated_search_id=f2f34460-2ac3-46a3-84cb-7b5fcc1fe0e5,2,4.51 (111),N/A,2024-07-01,2024-07-05,No,No,50759766
Apartment in Paris,N/A,Molière ChicSuites,"€ 2,420 total",https://www.airbnb.com/rooms/17262106?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710054_XyzVQ5w1mmbBPOLk&previous_page_section_name=1000&federated_search_id=e2b8f872-ef1a-45fd-9323-3af2f1357a5d,2,4.54 (107),Superhost,2024-07-01,2024-07-05,No,No,17262106
Apartment in Saint-Ouen-sur-Seine,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms",€ 927 total,https://www.airbnb.com/rooms/1028909701395790274?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710054_W3i54jQE3s8oUvvT&previous_page_section_name=1000&federated_search_id=e2b8f872-ef1a-45fd-9323-3af2f1357a5d,2,5.0 (5),Guest favorite,2024-07-01,2024-07-05,No,No,1028909701395790274
Apartment in Paris,N/A,GuestReady - Bliss and Peace near Paris,"€ 1,920 total",https://www.airbnb.com/rooms/691004504400575545?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711710054_mAAnqCFwPt5OWeGz&previous_page_section_name=1000&federated_search_id=e2b8f872-ef1a-45fd-9323-3af2f1357a5d,2,4.24 (29),Guest favorite,2024-07-01,2024-07-05,No,No,691004504400575545
